group,value,label,description,requires_note
tactics,concealed_weapon,暗器,"死角から武器を取り出し、奇襲する。小型白兵武器を装備している時のみ使用可能。
あなたの攻撃が回避された際、インスタントを消費して使用する。小型白兵武器による攻撃を行う。この命中判定には+3点のボーナスを得る。命中した場合、1d3点のダメージを与える。",false
tactics,fence_off,受け流し,"敵の攻撃を受け流し、次の攻撃に備える。
攻撃対象となった際、インスタントを消費して使用する。直後に行われる攻撃に対して、防御を行う。この防御には－2点のペナルティを負う。
1回の攻撃に対して、通常の防御や回避と《受け流し》を同時に行うことはできない。
リアクションを消費した冒険者は、次のラウンドまで無防備な状態である。さらに攻撃を受けた場合は本来なら自動命中だが、《受け流し》を取得していれば続く攻撃にも防御を行うことができる。",false
tactics,covering_fire,援護射撃,"攻撃を避けたばかりの敵に意識外から追い打ちをかける。射撃武器を装備している時のみ使用可能。
あなた以外の攻撃が回避された際、インスタントを消費して使用する。回避した敵に射撃武器による攻撃を行う。この命中判定には+2点のボーナスを得る。命中した場合、1d3点のダメージを与える。",false
tactics,stance,構え,"攻防一体の構えを取り、後の先を狙う。中型白兵武器を装備している時のみ使用可能。
あなたが待機状態になった際、インスタントを消費して使用する。このラウンド中、防御判定と中型白兵武器での命中判定に+2点のボーナスを得る。",false
tactics,riding_combat,騎乗戦闘,"動物に騎乗し、機動力や高所の有利を得る。
動物に騎乗した状態で戦闘に参加できる。得られるボーナスの内容はGMが決定する。例えば馬に騎乗している場合、「荷重の値に関わらずラウンドの最初に行動できる」「荷重ペナルティを無視する」などの恩恵が考えられるだろう。
戦場や騎乗対象が騎乗可能な状態にあるかどうか、最終的な決定権はGMが有する。例えば船上や崖際など、狭い場所では騎乗戦闘は有効に働かない。敵によく懐いている馬を奪うことも難しい。
戦闘中、あなたは自由に騎乗状態を解除できる。ただし、再度騎乗するならインスタントを消費する。",false
tactics,fatal_spot_attack,急所の一撃,"敵の急所へと攻撃を叩き込む。小型白兵武器で攻撃、あるいは非武装攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。直後の命中判定で出た値の合計が敵の回避力よりも10点以上高い値だった場合、1d6点の追加ダメージを与える。
この命中判定の値には各種ボーナスによる補正値を含めてよい。
例えば敵の回避力が6だった場合、命中判定の値が16以上であれば効果が適用される。なにかしらのボーナスによって+1点の補正値を得ているなら、それも含めて16点以上の値になっていれば、急所攻撃による恩恵を得ることができる。",false
tactics,high_angle_fire,曲射,"射撃の軌道を曲げ、遮蔽の向こうにいる敵を攻撃する。射撃武器で攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。遮蔽に隠れている対象へ攻撃を行う場合に受けるペナルティを無視することができる。
例えば、敵の隠れる壁の向こう側へ大きな弧を描いて矢を降らせたり、軌道を曲げて放つことで自身との直線上にない対象を射撃することができる。
ただし、その遮蔽が全方位を囲んでいる場合などには効果を発揮しない。例えば完全に密閉された屋内へ屋外から攻撃することは、《曲射》を用いたとしても難しいだろう。",false
tactics,ready_to_die,決死の覚悟,"あなたは決死の覚悟を決めており、命尽きるその瞬間に最後の反撃を行うことができる。
あなたの死亡したラウンド中、1度だけ、あらゆる処理に割り込んでアクションやリアクションを行うことができる。この行動にアクション、リアクション、インスタントの消費は発生しない。
それはあなたの最後の一撃かもしれないし、身を挺して誰かを庇うための一歩かもしれないし、たった一言の遺言かもしれない。
攻撃行動や特技の使用など、その行動に判定を必要とする場合、命中判定などのあらゆる処理は通常通り行うこと。また、自己に対する治療行為や、自己を対象とした攻撃への防御や回避を行うことはできない。この特技のもたらす効果によって自身の死の運命を捻じ曲げることは絶対に出来ない。",false
tactics,martial_arts,拳闘術,"重心移動を巧みに操り、拳打や蹴りの威力を高める。非武装攻撃を行う時のみ使用可能。
あなたの行う非武装攻撃は、1点ではなく、1d6点のダメージを与える。
冒険者が拘束された時などには、使い慣れた武器を取り上げられるのは自然なことだ。そのような時にも敵に一撃を見舞いたい場合、非武装での攻撃を余儀なくされるだろう。《拳闘術》を修得し、無手での格闘戦に長ける者は、裸一貫であっても人一倍の戦闘能力を発揮する。",false
tactics,escort,護衛,"味方を護衛し、その身を守ることに集中する。
味方をかばってダメージを肩代わりした際、インスタントを消費して使用する。直後に行う防御判定のペナルティを無視する。",false
