key,ja,en,comment
errors.unexpected,予期せぬエラーが発生しました,,General unexpected error message
googleDrive.auth.connected.title,Google Drive,,Drive auth connected title
googleDrive.auth.connected.message,接続しました,,Drive auth connected body
googleDrive.signOut.success.title,サインアウトしました,,Drive sign out success title
googleDrive.signOut.success.message,,,Drive sign out success body (empty)
googleDrive.save.loading.title,Google Drive,,Drive save loading title
googleDrive.save.loading.message,保存中...,,Drive save loading body
googleDrive.save.newLoading.title,新規キャラクター,,Drive save new character loading title
googleDrive.save.newLoading.message,新規キャラクターを保存中,,Drive save new character loading body
googleDrive.save.newSuccess.title,新規キャラクター,,Drive save new character success title
googleDrive.save.newSuccess.message,新規キャラクターを保存しました,,Drive save new character success body
googleDrive.save.success.title,保存完了,,Drive save success title
googleDrive.save.success.message,,,Drive save success body (empty)
googleDrive.save.error.title,保存失敗,,Drive save error title
googleDrive.save.error.message,,,Drive save default error body (empty)
googleDrive.load.loading.title,Google Drive,,Drive load loading title
googleDrive.load.loading.message,{name} を読み込み中...,,Drive load loading body template
googleDrive.load.success.title,読込完了,,Drive load success title
googleDrive.load.success.message,{name} を読み込みました,,Drive load success body template
googleDrive.load.error.title,読み込みエラー,,Drive load error title
googleDrive.load.error.message,不明なエラー,,Drive load default error body
googleDrive.load.noSelection.title,読み込みエラー,,Drive load no selection title
googleDrive.load.noSelection.message,ファイルが選択されていません,,Drive load no selection body
googleDrive.load.missingData.title,読み込みエラー,,Drive load missing data title
googleDrive.load.missingData.message,キャラクターデータを取得できませんでした,,Drive load missing data body
googleDrive.overwriteConfirm.title,上書き確認,,Drive overwrite confirm title
googleDrive.overwriteConfirm.message,{name} は既に存在します。上書きしますか？,,Drive overwrite confirm body
googleDrive.overwriteConfirm.buttons.overwrite,上書き,,Drive overwrite confirm button label
googleDrive.overwriteConfirm.buttons.cancel,キャンセル,,Drive overwrite confirm cancel label
googleDrive.apiInitError.title,Google API エラー,,Drive API init error title
googleDrive.apiInitError.message,初期化に失敗しました,,Drive API init error body
googleDrive.initPending.title,Google Drive,,Drive init pending title
googleDrive.initPending.message,初期化が完了するまでお待ちください,,Drive init pending body
googleDrive.config.loadError.title,設定読み込み失敗,,Drive config load error title
googleDrive.config.loadError.message,保存先フォルダの取得に失敗しました,,Drive config load error body
googleDrive.config.requiresSignIn.title,Google Drive,,Drive config requires sign in title
googleDrive.config.requiresSignIn.message,Googleにサインインしてください,,Drive config requires sign in body
googleDrive.config.updateSuccess.title,設定更新,,Drive config update success title
googleDrive.config.updateSuccess.message,保存先フォルダを更新しました,,Drive config update success body
googleDrive.config.updateError.title,設定更新失敗,,Drive config update error title
googleDrive.config.updateError.message,保存先フォルダの更新に失敗しました,,Drive config update error body
share.needSignIn.title,Google Drive,,Share sign-in needed title
share.needSignIn.message,サインインしてください,,Share sign-in needed body
share.toast.creating.title,共有リンク,,Share creating toast title
share.toast.creating.message,作成中...,,Share creating toast body
share.toast.success.title,共有リンク,,Share success toast title
share.toast.success.message,URLをコピーしました,,Share success toast body
share.toast.error.title,共有リンク,,Share error toast title
share.toast.error.message,共有リンクの生成に失敗しました,,Share error toast default body
share.toast.clipboardUnavailable.title,共有リンク,,Share clipboard unavailable toast title
share.toast.clipboardUnavailable.message,クリップボードにアクセスできません,,Share clipboard unavailable toast body
share.errors.saveFailed,Google Drive への保存に失敗しました,,Share save failed error
share.errors.shareFailed,共有リンクの取得に失敗しました,,Share retrieval failed error
share.errors.managerMissing,Google Drive マネージャーが設定されていません,,Share manager missing error
share.loadError.title,共有データエラー,,Share load error title
share.loadError.message.general,共有データの読み込みに失敗しました,,Share load error general message
share.loadError.message.fetchFailed,共有データの取得に失敗しました,,Share load error fetch failed message
share.loadError.message.parseFailed,共有データの解析に失敗しました,,Share load error parse failed message
characterHub.driveFolder.changeButton,選択,,Character hub folder change button
characterHub.driveFolder.label,保存先フォルダ,,Character hub folder label
characterHub.driveFolder.placeholder,慈悲なきアイオニア,,Character hub folder placeholder
characterHub.buttons.signIn,ログイン／Driveから読み込む,,Character hub sign in button
image.loadError.title,画像読み込み失敗,,Image load error title
image.loadError.message,{message},,Image load error body template
image.uploadErrors.noFile,画像ファイルが選択されていません。,,Image upload no file error
image.uploadErrors.unsupportedType,対応していない画像形式です。JPEG、PNG、GIF、WebP、SVG を指定してください。,,Image upload unsupported type error
image.uploadErrors.tooLarge,ファイルサイズが大きすぎます（最大10MB）。,,Image upload too large error
image.uploadErrors.readError,画像の読み込み中にエラーが発生しました。,,Image upload read error
dataExport.loadError.title,読み込み失敗,,Data export load error title
dataExport.loadError.message,{message},,Data export load error body template
